Time 169 done, cost 0.05363210190174655
Time 170 done, cost 2.7823815524409623
Time 171 done, cost 0.7309584600794268
Time 172 done, cost 0.18126617625164063
Time 173 done, cost 0.15828877097928026
Time 174 done, cost 11.176481770146074
Time 175 done, cost 0.03912381648341918
Time 176 done, cost 3.379825393209377e-05
Time 177 done, cost 18.39239206677428
Time 178 done, cost 0.03134375012653479
Time 179 done, cost 0.14339977596640874
Time 180 done, cost 0.2254169907462405
Time 181 done, cost 0.0022130375505129665
Time 182 done, cost 0.2730939733008391
Time 183 done, cost 0.21147213612234841
Time 184 done, cost 2.9749545484044844
Time 185 done, cost 0.05982710614080388
Time 186 done, cost 0.09506765292497174
Time 187 done, cost 0.03870081589799233
Time 188 done, cost 12.784160767132631
Time 189 done, cost 2.256266658650136
Time 190 done, cost 0.0002672416879363163
Time 191 done, cost 0.21460750753159527
Time 192 done, cost 0.007875175674807774
Time 193 done, cost 0.1605495789006848
Time 194 done, cost 0.005290010616715072
Time 195 done, cost 10.763651482413884
Time 196 done, cost 1.0271058205748256
Time 197 done, cost 0.624168129933957
Time 198 done, cost 1.5176921440596687
Time 199 done, cost 0.004112385483577023
Time 200 done, cost 0.050628759263968384
Time 201 done, cost 1.7476247275307208
Time 202 done, cost 1.6947464313275613
Time 203 done, cost 0.5913265199304838
Time 204 done, cost 0.5758854094554323
Time 205 done, cost 0.003406383446571691
Time 206 done, cost 0.0035250520285769185
Time 207 done, cost 0.02839331470501602
Time 208 done, cost 0.11513559596472488
Time 209 done, cost 1.2850046922014966
Time 210 done, cost 5.2035040861759755e-05
Time 211 done, cost 0.033391670895736435
Time 212 done, cost 0.08894285540967556
Time 213 done, cost 0.010011879580249156
Time 214 done, cost 0.7664633840181373
Time 215 done, cost 8.200161324748546
Time 216 done, cost 0.1594801969117835
Time 217 done, cost 18.439185796538776
Time 218 done, cost 15.354995706842088
Time 219 done, cost 0.1159211996081635
Time 220 done, cost 0.024126538022710572
Time 221 done, cost 0.0553291523759577
Time 222 done, cost 0.13497340356941212
Time 223 done, cost 0.011298041670492094
Time 224 done, cost 0.9840775980342619
Time 225 done, cost 13.603134444723095
Time 226 done, cost 0.13487477278621474
Time 227 done, cost 0.041941312565640425
Time 228 done, cost 0.24207640968642394
Time 229 done, cost 0.003699003573662958
Time 230 done, cost 21.727095640055666
Time 231 done, cost 0.0010006631784597987
Time 232 done, cost 0.020230121248281618
Time 233 done, cost 0.0025111622886656933
Time 234 done, cost 0.43819746172092533
Time 235 done, cost 0.029661754887173365
Time 236 done, cost 0.07446863143778519
Time 237 done, cost 0.0037490940150328843
Time 238 done, cost 0.04633962305956435
Time 239 done, cost 0.0002168197153030461
Time 240 done, cost 0.5574600145806898
Time 241 done, cost 0.2606178883215108
Time 242 done, cost 5.120784589598917
Time 243 done, cost 0.12230582197971043
Time 244 done, cost 5.250338348615509e-05
Time 245 done, cost 0.32353136324985216
Time 246 done, cost 0.8597503794621443
Time 247 done, cost 0.41981753902275376
Time 248 done, cost 0.11751631740876695
Time 249 done, cost 1.504840647996392
Time 250 done, cost 0.2521036078783066
Time 251 done, cost 1.4245947696916068
Time 252 done, cost 0.3732761652172205
Time 253 done, cost 0.08731563429218027
Time 254 done, cost 3.6812480387909594
Time 255 done, cost 0.08568926251021183
Time 256 done, cost 0.0010262238591883062
Time 257 done, cost 0.12032189835033325
Time 258 done, cost 0.1315522222608737
Time 259 done, cost 14.657375831374859
Time 260 done, cost 1.572510367041322
Time 261 done, cost 1.6936406285302776
Time 262 done, cost 0.016890306406941957
Time 263 done, cost 0.03170632899490763
Time 264 done, cost 20.04102844881503
Time 265 done, cost 0.15459861040241427
Time 266 done, cost 0.10422024353427352
Time 267 done, cost 1.967369943891302
Time 268 done, cost 0.42556363109791223
Time 269 done, cost 0.5619748490919927
Time 270 done, cost 0.019340086178104617
Time 271 done, cost 1.4506850660362063
Time 272 done, cost 0.0007754606649660606
Time 273 done, cost 7.086285206320106
Time 274 done, cost 0.0925771453008642
Time 275 done, cost 3.497675778287127
Time 276 done, cost 0.004703928150618456
Time 277 done, cost 0.0007444621859621296
Time 278 done, cost 0.01996938856076791
Time 279 done, cost 0.005735849209776753
Time 280 done, cost 0.009293272538581022
Time 281 done, cost 17.09771524935906
Time 282 done, cost 4.774367223340719
Time 283 done, cost 0.013879901157177755
Time 284 done, cost 4.013508949932116e-05
Time 285 done, cost 0.052379203172723515
Time 286 done, cost 0.3521339431529122
Time 287 done, cost 0.9474256596776771
Time 288 done, cost 0.36057152304173673
Time 289 done, cost 2.560975668116392
Time 290 done, cost 0.19142159500458047
Time 291 done, cost 7.870327432201131
Time 292 done, cost 1.3854871464696112
Time 293 done, cost 10.155475742890125
Time 294 done, cost 3.3223587257964726
Time 295 done, cost 0.024746406533490587
